Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1683450000000,28857.06000000,28890.77000000,28757.38000000,28815.77000000,1225.04533000,1683453599999,35314692.23497910,35851,578.97999000,16691928.48865800,0
1683453600000,28815.77000000,28863.75000000,28794.89000000,28847.74000000,746.11679000,1683457199999,21508536.37786000,22048,379.52463000,10940530.55298380,0
1683457200000,28847.74000000,28919.41000000,28705.12000000,28840.06000000,1399.44636000,1683460799999,40326781.06114330,35587,714.69937000,20595631.99429020,0
1683460800000,28840.07000000,28940.00000000,28840.00000000,28919.07000000,820.69884000,1683464399999,23713035.17969770,26557,465.26070000,13442316.56595080,0
1683464400000,28919.06000000,28989.99000000,28884.65000000,28920.00000000,1231.77980000,1683467999999,35639577.74082780,36535,637.07680000,18433200.28723760,0
1683468000000,28920.00000000,29095.88000000,28884.44000000,29045.71000000,1954.60978000,1683471599999,56691284.39533030,54022,1039.62121000,30155114.02025610,0
1683471600000,29045.71000000,29053.21000000,28900.99000000,28942.67000000,1282.23253000,1683475199999,37145156.79450130,42247,593.20921000,17183571.29778130,0
1683475200000,28942.66000000,28973.09000000,28807.00000000,28953.65000000,1401.91519000,1683478799999,40512661.04879830,39808,674.64759000,19496491.97798030,0
1683478800000,28953.64000000,29029.11000000,28877.55000000,28904.56000000,1073.87189000,1683482399999,31082677.21950390,33118,532.14341000,15405249.20386320,0
1683482400000,28904.56000000,28954.99000000,28857.49000000,28857.62000000,724.37308000,1683485999999,20938556.67479370,25952,349.74600000,10109978.15400980,0
1683486000000,28857.50000000,28930.29000000,28770.69000000,28907.73000000,1057.53936000,1683489599999,30504179.99274410,32693,521.32706000,15036514.11592210,0
1683489600000,28907.73000000,28949.34000000,28885.09000000,28912.07000000,780.08677000,1683493199999,22559253.26347280,24297,319.90367000,9251253.29267770,0
1683493200000,28912.08000000,28952.87000000,28750.00000000,28772.83000000,938.38589000,1683496799999,27069372.50583060,33774,430.70204000,12426376.32790280,0
1683496800000,28772.84000000,28840.86000000,28716.00000000,28739.22000000,1046.31616000,1683500399999,30116782.04917800,32109,476.90350000,13727545.67901600,0
1683500400000,28739.22000000,28792.19000000,28395.23000000,28430.10000000,3627.30846000,1683503999999,103742536.85043940,77700,1670.63081000,47784892.95328950,0
1683504000000,28430.09000000,28631.01000000,28357.70000000,28572.17000000,3090.48598000,1683507599999,88136109.81080320,71054,1527.50885000,43562254.27417100,0
